bauwerksnr,zustandsnote,zustandsklasse,geo_e,geo_n
1626608-2,2.3,befriedigend,571766.313,6019147.375
1626609-0,1.7,gut,572125.969,6018719.949
1626619-0,1.8,gut,573036.291,6024454.103
1626644-1,2.0,befriedigend,574949.545,6017399.564
1626644-2,1.9,gut,574949.545,6017399.564
1627501-0,2.5,ausreichend,583112.447,6027627.038
1627502-0,2.2,befriedigend,583212.829,6027761.803
1627507-0,1.2,sehr gut,578348.159,6021673.861
1627509-0,2.2,befriedigend,578626.06,6022150.46
1627510-0,2.0,befriedigend,578754.257,6022511.973
1627511-0,1.6,gut,578599.837,6023153.629
1627512-0,1.1,sehr gut,578514.255,6023323.252
1627513-0,1.9,gut,581432.543,6026570.821
1627514-0,1.9,gut,580973.088,6026239.743
1627515-0,2.2,befriedigend,579634.999,6025331.54
1627516-0,1.9,gut,580298.672,6025755.849
1627517-0,2.3,befriedigend,578431.97,6024180.2
1627518-0,2.0,befriedigend,578866.921,6024759.97
1627519-0,2.0,befriedigend,579029.13,6024920.147
1627520-0,1.0,sehr gut,581864.539,6026878.89
1630500-0,2.4,befriedigend,614336.524,6018402.956
1631501-0,2.3,befriedigend,622112.473,6018347.026
1631508-0,2.4,befriedigend,622818.781,6018655.86
1631509-1,2.0,befriedigend,624111.22,6019540.69
1631509-2,2.0,befriedigend,624111.22,6019540.69
1631510-1,2.2,befriedigend,624439.105,6020132.148
1631510-2,1.9,gut,624439.105,6020132.148
1631511-1,1.4,sehr gut,625245.856,6020939.9
1631511-2,2.0,befriedigend,625245.856,6020939.9
1631512-0,1.0,sehr gut,625728.41,6022151.06
1631513-1,2.3,befriedigend,626324.211,6023276.724
1631513-2,2.2,befriedigend,626324.211,6023276.724
1631514-1,2.0,befriedigend,626586.342,6023749.442
1631514-2,1.9,gut,626586.342,6023749.442
1631515-1,2.0,befriedigend,627275.651,6024992.514
1631515-2,2.2,befriedigend,627275.651,6024992.514
1631516-1,2.0,befriedigend,627589.89,6025471.04
1631516-2,2.0,befriedigend,627589.89,6025471.04
1631521-1,2.0,befriedigend,628498.711,6025690.574
1631521-2,2.0,befriedigend,628498.711,6025690.574
1631522-1,1.5,gut,628980.653,6025641.293
1631522-2,2.5,ausreichend,628980.653,6025641.293
1632500-0,2.5,ausreichend,635558.246,6027733.902
1632502-0,2.8,ausreichend,631526.983,6022111.487
1632503-0,2.5,ausreichend,631617.089,6022396.963
1632504-0,2.2,befriedigend,634402.709,6027079.241
1632506-0,2.9,ausreichend,631910.3,6025960.046
1632507-0,2.5,ausreichend,632173.09,6026050.226
1632508-0,2.2,befriedigend,632579.77,6026237.488
1632509-0,2.8,ausreichend,633371.724,6026631.969
1632510-0,2.2,befriedigend,631508.206,6022051.27
1632511-0,2.3,befriedigend,631616.775,6022396.012
1632512-1,1.8,gut,630576.075,6025734.14
1632512-2,1.8,gut,630576.075,6025734.14
1642504-0,2.0,befriedigend,747061.077,6023835.883
1642508-0,2.4,befriedigend,745841.13,6023523.034
1644506-0,2.0,befriedigend,769466.104,6028005.251
1644512-A,2.0,befriedigend,766945.86,6024967.651
1644512-B,2.2,befriedigend,767037.53,6025275.606
1644512-C,2.3,befriedigend,767368.631,6025577.21
1644512-D,2.3,befriedigend,767786.01,6025946.892
1644512-E,2.3,befriedigend,768155.487,6026329.789
1644512-F,2.3,befriedigend,768530.964,6026712.444
1644513-0,1.2,sehr gut,769066.688,6027257.337
1644516-1,2.3,befriedigend,766293.604,6024549.064
1644516-2,2.2,befriedigend,766293.604,6024549.064
1644517-0,2.2,befriedigend,760688.517,6024375.456
1646501-0,3.4,nicht ausreichend,781339.411,6033563.932
1647502-0,2.7,ausreichend,793425.067,6036816.24
1719500-0,2.0,befriedigend,499701.601,6015035.779
1719501-0,1.6,gut,499196,6015513.283
1719502-0,2.5,ausreichend,498820.099,6015882.723
1719503-0,1.5,gut,498635.992,6016064.966
1719504-0,1.5,gut,498630.327,6016070.574
1720500-0,2.5,ausreichend,502952.205,6005854.805
1720501-0,2.0,befriedigend,502827.751,6007966.363
1720502-0,2.0,befriedigend,502729.458,6008375.321
1720503-0,2.3,befriedigend,502487.27,6010552.724
1720504-0,2.2,befriedigend,500460.553,6014301.379
1721500-0,2.2,befriedigend,518609.722,6007535.629
1722500-0,2.3,befriedigend,528189.233,6016136.996
1722502-A,2.4,befriedigend,528443.114,6008352.914
1722502-B,2.0,befriedigend,528443.114,6008352.914
1722502-C,2.2,befriedigend,528443.114,6008352.914
1722503-0,2.7,ausreichend,528829.564,6008413.877
1722507-0,2.8,ausreichend,528180.635,6016146.777
1723500-0,2.0,befriedigend,542836.017,6015162.467
1723501-0,2.0,befriedigend,542606.04,6016477.97
1723502-0,2.5,ausreichend,543005.2,6014717.09
1723503-0,2.2,befriedigend,543252.45,6014813.103
1724500-0,2.0,befriedigend,543909.178,6009097.156
1724501-0,2.5,ausreichend,544014.702,6009272.908
1724502-0,2.0,befriedigend,544163.051,6010067.495
1724503-0,1.8,gut,543461.677,6011787.305
1724504-0,2.3,befriedigend,543459.495,6011797.066
1724505-0,2.0,befriedigend,543393.75,6012421.998
1724506-0,2.1,befriedigend,544676.682,6015385.135
1724508-0,1.9,gut,545316.451,6015770.321
1724509-0,2.0,befriedigend,545630.867,6015956.469
1724510-0,2.0,befriedigend,545731.494,6016012.891
1724511-0,2.0,befriedigend,545802.04,6016050.534
1724525-0,2.1,befriedigend,553776.633,6010232.037
1724526-0,2.7,ausreichend,552874.853,6011526.877
1724527-0,2.1,befriedigend,552821.762,6011608.996
1724528-0,1.8,gut,552010.513,6012751.57
1724529-0,2.0,befriedigend,552522.669,6012063.138
1724530-0,1.7,gut,551226.861,6013619.408
1724531-0,1.8,gut,550932.363,6013970.154
1724532-0,1.9,gut,550032.955,6015505.231
1724533-1,2.0,befriedigend,549464.493,6016863.721
1724533-2,2.0,befriedigend,549464.493,6016863.721
1724536-0,2.5,ausreichend,546268.657,6016259.375
