bauwerksnr,zustandsnote,zustandsklasse,geo_e,geo_n,latitude,longitude
5014559-0,2.2,befriedigend,439538.84,5644116.636,50.945497188605756,8.13935803257228
5014561-0,3.4,nicht ausreichend,440043.247,5647484.711,50.97583412988801,8.145982194580462
5014608-1,2.5,ausreichend,431195.683,5639217.962,50.900516232865336,8.021538102663392
5014608-2,2.8,ausreichend,431181.225,5639228.576,50.9006099437702,8.021330527682817
5014608-3,2.7,ausreichend,431209.061,5639216.664,50.90050615624886,8.021728565294119
5014609-B,2.7,ausreichend,431865.277,5639206.593,50.900493419600586,8.031061016328957
5014609-C,2.4,befriedigend,431860.157,5639129.266,50.899797539876026,8.031002648183769
5014610-A2,2.3,befriedigend,431284.657,5638991.653,50.89849200666829,8.022845791731896
5014610-B4,2.4,befriedigend,431470.914,5639081.36,50.89932073066528,8.02547717909223
5014610-B5,2.3,befriedigend,431446.004,5639059.465,50.89912090784056,8.02512711041062
5014610-C2,2.5,ausreichend,431645.96,5639033.094,50.89890750360049,8.027975085891462
5014610-C3,2.3,befriedigend,431672.93,5638952.287,50.89818413079457,8.028373673777022
5014610-C4,2.3,befriedigend,431615.345,5639061.645,50.89916059069886,8.027534446553851
5014611-A5,2.8,ausreichend,430848.37,5639600.689,50.90391596109466,8.01652726277021
5014611-B,2.8,ausreichend,430625.763,5640652.398,50.91334549054739,8.013161915397488
5014612-1,2.6,ausreichend,430721.285,5642091.761,50.92629869953611,8.01424705554926
5014613-1,2.2,befriedigend,430664.9,5642321.662,50.92835902854835,8.013401164039893
5014613-2,2.2,befriedigend,430663.68,5642291.749,50.928089925827166,8.013389496809765
5014615-0,2.3,befriedigend,430474.257,5642992.863,50.93437102533466,8.010560810347759
5014616-0,2.5,ausreichend,430209.764,5643568.835,50.93951778100694,8.006687013394965
5014657-0,2.3,befriedigend,436616.321,5640685.673,50.91433375576979,8.098359107977727
5015531-0,3.0,nicht ausreichend,447741.786,5648846.451,50.988828754640835,8.255432925584271
