bauwerksnr,zustandsnote,zustandsklasse,geo_e,geo_n,latitude,longitude
4521682-0,1.0,sehr gut,511979.529,5695006.006,51.40615048176134,9.17223056158165
4521712-0,1.9,gut,522061.566,5697983.226,51.432618176411246,9.317364240631889
4522513-0,1.9,gut,530401.813,5696793.804,51.421537220312324,9.437236627244705
4522521-0,1.9,gut,530279.655,5697436.657,51.42732402699616,9.435534757523993
4522526-0,1.7,gut,528624.364,5698636.338,51.4381971153185,9.411823133222374
4522532-0,1.0,sehr gut,528523.032,5699263.542,51.44384178709757,9.41041583834109
4522577-0,2.0,befriedigend,528505.075,5700299.396,51.45315665183211,9.41024092233596
4523503-0,2.0,befriedigend,545715.187,5698757.209,51.4381623676939,9.65771288507321
4523725-0,2.0,befriedigend,544111.88,5702511.322,51.47204364801144,9.635115607889809
4523730-0,1.8,gut,541706.15,5705340.229,51.497661543176015,9.600814585721848
4523742-0,1.8,gut,541976.416,5704541.575,51.490460649854604,9.60461277167847
4524503-1,2.0,befriedigend,550881.795,5695432.723,51.40783098696303,9.7315622359005
4524503-2,1.9,gut,550881.795,5695432.723,51.40783098696303,9.7315622359005
4524504-1,1.7,gut,552439.646,5694877.198,51.40269427801268,9.753876333780601
4524504-2,1.5,gut,552439.646,5694877.198,51.40269427801268,9.753876333780601
4524515-0,1.9,gut,550035.657,5701407.014,51.46162183879103,9.72024201720112
4524529-0,1.7,gut,550350.465,5702487.561,51.4713091811007,9.72492709253559
4524530-0,1.2,sehr gut,550313.86,5702917.368,51.47517685373823,9.72446132327998
4525002-0,1.3,sehr gut,564876.602,5702438.176,51.469385958876664,9.9340333544602
4525020-0,1.7,gut,563030.586,5696001.442,51.41172392724651,9.906313556184763
4525519-2,1.8,gut,560578.089,5700008.604,51.44801884693505,9.87173907613898
4525525-1,2.0,befriedigend,564862.199,5701027.884,51.456708253472364,9.93356725872687
4525528-0,2.0,befriedigend,564876.602,5702438.176,51.469385958876664,9.9340333544602
4525531-1,1.0,sehr gut,560612.744,5702908.851,51.47409051756226,9.872734937949541
